RESPONDENT_ID,LANGUAGE_CODE,SURVEY_TYPE,Q01. In what country were you born?,Q02. In what year were you born?,Q03. In what year did you move to the United States?,Q04. In what ZIP code do you live?,Q05. What is your preferred language?,Q06. How well would you say you speak English?,Q07-Verbatim. What is the most important issue facing your immigrant and refugee community that you think our public officials should address?,Q07_CODE1. What is the most important issue facing your immigrant and refugee community that you think our public officials should address?-1,Q07_CODE2. What is the most important issue facing your immigrant and refugee community that you think our public officials should address? -2,Q07_CODE3. What is the most important issue facing your immigrant and refugee community that you think our public officials should address? -3,"Q08. Overall, how much of a difference do you think you can have in making your neighborhood a better place to live?",Q09. How interested are you in the presidential election this year?,"Q10_01. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 1","Q10_02. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 2","Q10_03. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 3","Q10_04. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 4","Q10_05. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 5","Q10_06. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 6","Q10_07. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 7","Q10_08. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 8","Q10_09. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 9","Q10_10. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 10","Q10_11. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 11","Q10_12. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 12","Q10_13. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 13","Q13_OTHER. Other: (If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use? )",Q11. How easy is it to find information about elections and candidates in your preferred language?,Q12_01. Please tell us if you have done any of the following activities in the past 2 years. - 1,Q12_02. Please tell us if you have done any of the following activities in the past 2 years. - 2,Q12_03. Please tell us if you have done any of the following activities in the past 2 years. - 3,Q12_04. Please tell us if you have done any of the following activities in the past 2 years. - 4,Q12_05. Please tell us if you have done any of the following activities in the past 2 years. - 5,Q12_06. Please tell us if you have done any of the following activities in the past 2 years. - 6,Q12_07. Please tell us if you have done any of the following activities in the past 2 years. - 7,Q12_08. Please tell us if you have done any of the following activities in the past 2 years. - 8,Q12_09. Please tell us if you have done any of the following activities in the past 2 years. - 9,"Q13. Some people are registered to vote, while others are not. Which of the following best describes you?","Q13_OTHER. Other: (Some people are registered to vote, while others are not. Which of the following best describes you?)","Q14. If you are eligible (U.S. citizen over the age of 18), but have not yet registered to vote, what is the main reason why you have not registered to vote?","Q14_OTHER. Other: (If you are eligible (U.S. citizen over the age of 18), but have not yet registered to vote, what is the main reason why you have not registered to vote? )",Q15. Did you vote in the Presidential Election last November 2012?,"Q16. If you did not vote in the 2012 Presidential Election, what was the main reason for not voting in that election?","Q16_OTHER. Other: (If you did not vote in the 2012 Presidential Election, what was the main reason for not voting in that election?)",Q17. How likely is it that you will vote in the presidential election this November 2016?,Q18. How often have you voted in state and local elections?,"Q19. Have you ever been contacted and encouraged to vote by a candidate, political party, or other organization?",Q20. What is the highest level of education that you have completed?,Q21. Do you and your family own the place where you are living now or do you rent?,Q21_OTHER. Other: (Do you and your family own the place where you are living now or do you rent?),Q22. How many people (adults and children) currently live in your household?,Q23. Please select your gender:,Q23_OTHER. Other: (Please select your gender:),Q24. What was your total combined household income in 2015 before taxes?,"Q25. When it comes to getting around the city, which of these statements best describes your situation?","Q25_OTHER. Other: (When it comes to getting around the city, which of these statements best describes your situation?)",Q26. How did you hear about Seattle Votes?
3566,English,PAPER,Somalia,1972,1993,98126,Somalian,Very well,Community Development, Community centers/Community development, , ,I can make a big difference,I am very interested,Internet,Television in English,Ethnic newspapers,Newspapers in English, , , , , , , , , , ,Very easy,I attended a government or school board meeting in my city,I have worked on a project or attended a meeting in my neighborhood,"I attended a PTA meeting, or other volunteer group at my child's school", , , , , , ,I am registered to vote, , , ,No, , ,Very likely,Rarely, ,High school graduate or GED,We rent our home, ,8,Male, ,"$24,301 to $40,890",I usually drive the car that I own, , 
3567,English,PAPER,Somalia,1963,2001,98126,Somalian,Well,Community supporting, Community outreach/Community support, , ,I can make a small difference,I am somewhat interested,Television in English, , , , , , , , , , , , , ,It is difficult,"I attended a PTA meeting, or other volunteer group at my child's school", , , , , , , , ,I am registered to vote, , , ,No, , ,Very likely,Rarely, ,High school graduate or GED,We rent our home, ,6,Male, ,"$24,301 to $40,890",I usually drive the car that I own, , 
3568,English,PAPER,Somalia,1993,1997,98126,Somalian,Well,Jobs and housing,Jobs/Job search/More jobs available,Affordable housing/Low income housing, ,I can make a small difference,I am somewhat interested,Internet,Television in English, , , , , , , , , , , , , ,I attended a government or school board meeting in my city,"I attended a PTA meeting, or other volunteer group at my child's school", , , , , , , ,I am registered to vote, , , ,No, , ,Very likely,Sometimes, ,Some high school, , ,3,Male, ,"$40,891 to $64,999",I usually drive the car that I own, , 
3572,Oromo,PAPER,Somalia,1970,1998,98126,Somalian,Not well,NA, , , ,I can make a small difference,I am somewhat interested,Internet,Ethnic Television, , , , , , , , , , , , ,Somewhat easy,"I participated in one or more demonstrations, protests, marches, or rallies","I attended a PTA meeting, or other volunteer group at my child's school", , , , , , , ,I am eligible to register but have not registered yet, ,I don't know how/where to register/it's too complicated, ,No,I was out of town, ,Somewhat likely,Rarely, ,Some high school,We rent our home, ,9, , ,"$40,891 to $64,999",I usually drive the car that I own, , 
3573,Somali,PAPER,Somalia,1970,1998,98126,Somalian,Not well,NA, , , ,I can make a small difference,I am somewhat interested,Internet,Ethnic Television, , , , , , , , , , , , ,Somewhat easy,"I participated in one or more demonstrations, protests, marches, or rallies","I attended a PTA meeting, or other volunteer group at my child's school", , , , , , , ,I am eligible to register but have not registered yet, ,I don't know how/where to register/it's too complicated, ,No,I was out of town, ,Somewhat likely,Rarely, ,Some high school,We rent our home, , , , ,"$40,891 to $64,999",I usually drive the car that I own, , 
3574,Spanish,PAPER,Guatemala,1973,1992,98126,Spanish,Well,Documentacion legal,Difficulty in legal residence/Greencard issue/Obtaining citizenship/Immigration, , ,I can make a big difference,I am very interested,Internet,Ethnic Television,Friends and family,Television in English, , , , , , , , , , ,Somewhat easy,I sent a message on Facebook or other social media about a social or political issue,"I attended a PTA meeting, or other volunteer group at my child's school", , , , , , , ,I am not currently eligible to register to vote, ,Not a citizen yet/Not qualified/Greencard holder,do not meet requirements,No,Not US citizen/Ineligible/Greencard holder,do not meet requirements,Somewhat likely,Never, ,High school graduate or GED,We own our home, ,6,Male, ,"$40,891 to $64,999",I usually drive the car that I own, , 
3575,English,PAPER,Somalia,1984,2000,98126,Somalian,Very well,More Somali speak teacher, Other, , ,I can make a big difference,I am somewhat interested,Internet,Ethnic Television,Newspapers in English, , , , , , , , , , , ,Somewhat easy,"I participated in one or more demonstrations, protests, marches, or rallies", , , , , , , , ,I am registered to vote, , , ,Yes, , ,Somewhat likely, , ,High school graduate or GED,We rent our home, ,9,Female, ,"$11,880 or less",I usually drive the car that I own, , 
3576,English,PAPER,Somalia,1949,2001,98126,Somalian,Well,Education/health, Education/General educational resources,Access to health care/Affordable health care, ,I can make a moderate difference,I am very interested,Internet, , , , , , , , , , , , , ,Somewhat easy,I have signed a letter about a social or political issue, , , , , , , , ,I am registered to vote, , , , , , ,Somewhat likely,Sometimes, ,Some high school,We rent our home, ,1,Male, ,"$11,881 to $24,300",I usually drive the car that I own, , 
3577,English,PAPER,Somalia,1987,1991,98126,English,Very well,Safety, Improve safety/Reduce crime, , ,I can make no difference at all,I am very interested,Internet,Friends and family,Television in English,Ethinic radio, , , , , , , , , , ,Very easy,I have signed a letter about a social or political issue,"I contacted a public official through a letter, email, phone, or in-person",I volunterred for an election activity such as a phone bank or registering people to vote, , , , , , ,I am registered to vote, , , ,No,I was not registered, ,Not likely at all,Never, ,High school graduate or GED,We live with relatives or friends, ,11,Male, ,"$11,881 to $24,300","I usually use shared transportation, such as a carpool", , 
3578,English,PAPER,El Salvador,1982,2003,98126,Spanish,Well,na, , , ,I can make a moderate difference,I am very interested,Internet,Ethnic Television,Friends and family, , , , , , , , , , , ,Very easy,"I attended a PTA meeting, or other volunteer group at my child's school", , , , , , , , ,I am not currently eligible to register to vote, , , ,No, , ,I don't know,Never, ,Some college,We rent our home, ,9,Female, ,"$40,891 to $64,999",I usually drive the car that I own, , 
3579,Vietnamese,PAPER,Vietnam,1936,1993,98126, ,Not well,NA, , , ,I can make no difference at all,I am very interested,Ethnic Television,Television in English,Ethnic newspapers, , , , , , , , , , , ,It is difficult,I attended a government or school board meeting in my city,"I participated in one or more demonstrations, protests, marches, or rallies", , , , , , , ,I am registered to vote, , , , , , , , , ,None,We own our home, ,9,Female, , ,I usually drive the car that I own, , 
3580,Vietnamese,PAPER,Vietnam,1945,2007,98126,Vietnamese,Not well,NA, , , ,I can make no difference at all,I am very interested,Internet,Television in English, , , , , , , , , , , , ,It is difficult, , , , , , , , , ,I am not currently eligible to register to vote, , , , , , , , , , ,We rent our home, , ,Male, , , , , 
3581,Vietnamese,PAPER,Vietnam,1941,1978,98128,Vietnamese,Not well,na, , , ,I can make no difference at all,I am very interested,Ethnic Television,Friends and family,Ethnic newspapers,Library, , , , , , , , , , ,Somewhat easy,"I participated in one or more demonstrations, protests, marches, or rallies", , , , , , , , ,I am registered to vote, , , ,No,I was sick, ,Very likely,Sometimes, ,Some college,We rent our home, ,2,Female, , ,"I don't own a car, so I take public transportation", ,SVCLI
3582,English,PAPER,Somalia,1989,1998,98128,English,Very well,gang violence, Improve safety/Reduce crime, , ,I can make a moderate difference,I am very interested,Internet,Friends and family,Television in English,My place of worship, , , , , , , , , , ,It is difficult,I attended a government or school board meeting in my city,"I participated in one or more demonstrations, protests, marches, or rallies", , , , , , , , , , , ,Yes, , ,Very likely,Sometimes, ,College degree,We rent our home, ,7,Female, ,"$24,301 to $40,890",I usually drive the car that I own, ,Seattle Public Library ( online and in paper)
3583,Vietnamese,PAPER,Vietnam,1942,2005,98128,Vietnamese,Well,na, , , ,I can make no difference at all,I am very interested,Ethnic Television,Ethnic newspapers,Ethinic radio, , , , , , , , , , , ,It is difficult, , , , , , , , , ,I am registered to vote, , , , , , ,Very likely,Rarely, ,None,We rent our home, ,9,Female, , ,"I don't own a car, so I take public transportation", ,REWA Tukwila Office
3584,English,PAPER,Somalia,1954,1997,98128,Somalian,Not well,Jobs for our youth and their safety,Jobs/Job search/More jobs available, Help the youth/youth services, Improve safety/Reduce crime,I can make a small difference, ,Television in English,Ethinic radio,Neighborhood House, , , , , , , , , , ,Neighborhood House,Somewhat easy,I attended a government or school board meeting in my city, , , , , , , , ,I am eligible to register but have not registered yet, ,I don't know how/where to register/it's too complicated, ,No,I did not like the candidates, ,I don't know,Never, ,None,We rent our home, ,4, , ,"$11,881 to $24,300",I usually drive the car that I own, ,Neighborhood House
3585,Oromo,PAPER,Ethiopia,1986,2005,98128,Oromo,Very well,school, Education/General educational resources, , ,I can make no difference at all,I am very interested,Internet, , , , , , , , , , , , , ,Very easy,I attended a government or school board meeting in my city, , , , , , , , ,I am registered to vote, , , ,Yes, , ,Not likely at all, , ,College degree,We rent our home, ,4,Female, ,"$24,301 to $40,890", , , 
3586,Chinese,WEB,China,1991,2012,98131,Chinese,Very well,Traffic and parking situation, Other, , ,I can make no difference at all,I am somewhat interested,Internet, , , , , , , , , , , , , ,It is difficult, , , , , , , , , ,I am not currently eligible to register to vote, , , ,No,I was not registered, ,Somewhat likely,Never,No,Graduate or professional degree,We rent our home, ,1,Female, ,"$100,000 to $150,000","I own a car, but I usually take public transportation", ,Social Media / Facebook / Online meet up groups / All online social media sites
3587,English,PAPER,Eritirea,1978,2004,98132,Tigrigna,Not well,na, , , ,I can make a small difference,I am very interested,Friends and family,Television in English,My community organization(s)/service provider(s), , , , , , , , , , , ,Very easy, , , , , , , , , ,I am registered to vote, , , ,No,I was out of town, ,Very likely, , ,Eighth grade or below,We rent our home, ,1,Female, ,"$24,301 to $40,890",I usually drive the car that I own, , 
3588,English,PAPER,Mexico,1940,1991,98133,English,Not well,training police, Police brutality, , ,I can make no difference at all,I am very interested,Ethnic Television,Ethnic newspapers,Ethinic radio,My community organization(s)/service provider(s), , , , , , , , , , ,Very easy,I have signed a letter about a social or political issue,"I participated in one or more demonstrations, protests, marches, or rallies", , , , , , , ,I am registered to vote, , , ,No,I did not receive a ballot, ,Very likely, , ,Some high school,We rent our home, ,3,Male, ,"$24,301 to $40,890",I usually drive the car that I own, ,Unite Here Local
3589,English,PAPER,Bolivia,1964,2002,98133,Spanish,Well,"""Gang violence, youth""", Improve safety/Reduce crime, , ,I can make no difference at all,I am very interested,Ethnic Television,Friends and family, , , , , , , , , , , , ,It is difficult,"I participated in one or more demonstrations, protests, marches, or rallies", , , , , , , , ,I am eligible to register but have not registered yet, ,I don't know how/where to register/it's too complicated, ,No,I did not have time/I was working, ,I don't know, , ,High school graduate or GED,We rent our home, ,3,Male, ,"$11,881 to $24,300",I usually drive the car that I own, ,TRAC Associates
3590,English,PAPER,Eritirea,1970,2003,98133,Tigrigna,Well,Youth issues and education, Help the youth/youth services, , ,I can make a moderate difference,I am very interested,Internet,Television in English,Newspapers in English, , , , , , , , , , , ,Very easy,I attended a government or school board meeting in my city,"I contacted a public official through a letter, email, phone, or in-person",I sent a message on Facebook or other social media about a social or political issue,I volunterred for an election activity such as a phone bank or registering people to vote, , , , , ,I am registered to vote, , , ,Yes, , ,Very likely, , ,High school graduate or GED,We rent our home, ,5,Male, ,"$24,301 to $40,890",I usually drive the car that I own, ,TRAC Associates
3591,English,PAPER,Ethiopia,1980,2010,98133,Amharic,Well,employment,Jobs/Job search/More jobs available, , ,I can make a moderate difference,I am very interested,Internet, , , , , , , , , , , , , , ,"I participated in one or more demonstrations, protests, marches, or rallies", , , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely, , ,High school graduate or GED,We rent our home, ,5,Male, ,"$24,301 to $40,890",I usually drive the car that I own, ,TRAC Associates
3592,English,PAPER,Sudan,1983,2008,98133,Arabic,Not well,"""youth, safety/education""", Help the youth/youth services,Jobs/Job search/More jobs available,Affordable housing/Low income housing,I can make a moderate difference,I am not interested,Internet,Ethnic Television,Friends and family,Television in English,Ethnic newspapers, , , , , , , , , ,It is difficult, , , , , , , , , ,I am registered to vote, , , , , , ,Very likely, , ,Eighth grade or below,We rent our home, ,2,Female, ,"$11,881 to $24,300",I usually drive the car that I own, ,TRAC Associates
3593,English,PAPER,Sudan,1968,2012,98133,Arabic,Not well,jobs,Jobs/Job search/More jobs available, , ,I can make no difference at all,I am not interested,Ethnic Television,Friends and family, , , , , , , , , , , , ,Somewhat easy,I have given money to an organization or candidate, , , , , , , , ,I am not currently eligible to register to vote, , , ,No, , ,Not likely at all,Never, ,Eighth grade or below,We rent our home, ,2,Female, ,"$11,880 or less","I don't own a car, so I take public transportation", ,TRAC Associates
3594,English,PAPER,USA,1932,1932,98133,English,Very well,Education/ Health programs for pacific islanders, Education/General educational resources,Access to health care/Affordable health care, ,I can make a big difference,I am very interested,Internet,Friends and family,Television in English,Newspapers in English,Radio in English,My community organization(s)/service provider(s), , , , , , , , ,Very easy,I attended a government or school board meeting in my city,I have worked on a project or attended a meeting in my neighborhood,I sent a message on Facebook or other social media about a social or political issue,I volunterred for an election activity such as a phone bank or registering people to vote, , , , , ,I am registered to vote, , , , , , ,Very likely, , ,Some college,We own our home, , , , ,"More than $150,000",I usually drive the car that I own, ,SVCLI
3595,Vietnamese,PAPER,Vietnam,1973,1979,98133,English,Very well,na, , , ,I can make a moderate difference,I am very interested,Internet,Friends and family,Television in English,Newspapers in English,My union or work place, , , , , , , , , ,Very easy,"I contacted a public official through a letter, email, phone, or in-person","I attended a PTA meeting, or other volunteer group at my child's school", , , , , , , ,I am registered to vote, , , ,Yes, , ,Somewhat likely,Often, ,College degree,We own our home, ,4,Female, ,"$65,000 to $99,999",I usually drive the car that I own, ,Sonny sewing
3596,Vietnamese,PAPER,Vietnam,1930,1979,98133,Vietnamese,Not well,na, , , ,I can make a small difference,I am very interested,Ethnic Television,Friends and family,Ethnic newspapers, , , , , , , , , , , ,I have not found any, , , , , , , , , ,I am eligible to register but have not registered yet, ,I don't know how/where to register/it's too complicated, ,No,I was not registered, ,Not likely at all,Never, ,None,We rent our home, ,2,Male, ,"$11,881 to $24,300",I usually drive the car that I own, ,Sonny sewing
3597,Vietnamese,PAPER,Vietnam,1942,1979,98133,Vietnamese,Well,na, , , ,I can make a small difference,I am very interested,Ethnic Television,Friends and family,Ethnic newspapers, , , , , , , , , , , ,I have not found any, , , , , , , , , ,I am eligible to register but have not registered yet, ,I don't know how/where to register/it's too complicated, ,No,I was not registered, ,Not likely at all,Never, ,Some college,We rent our home, ,2,Female, ,"$11,880 or less","I usually use shared transportation, such as a carpool", ,Sonny sewing
3598,English,PAPER,Phillipines,1971,2001,98133,English,Well,So far my situation is good, Don’t know, , ,I can make no difference at all,I am somewhat interested,Internet,Television in English,Library, , , , , , , , , , , ,Very easy, , , , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely,Rarely, ,Graduate or professional degree,We rent our home, ,4,Female, ,"$24,301 to $40,890",I usually drive the car that I own, ,Seattle Public Library ( online and in paper)
3599,English,PAPER,Nigeria,1984,2000,98133,English,Very well,Integrating and job placement, Helping immigrants assimilate/Help integration, , ,I can make a big difference,I am very interested,Internet, , , , , , , , , , , , , ,Very easy, , , , , , , , , ,I am registered to vote, , ,None,Yes, , ,Very likely, , ,College degree,We rent our home, ,1,Male, ,"$40,891 to $64,999","I own a car, but I usually take public transportation", ,Seattle Public Library ( online and in paper)
3600,Spanish,PAPER,Mexico,1942,1995,98133,Spanish,Not well, , , , ,I can make a big difference,I am very interested,Ethnic Television, , , , , , , , , , , , , ,Somewhat easy,"I participated in one or more demonstrations, protests, marches, or rallies", , , , , , , , ,I am eligible to register but have not registered yet, ,Voter registration information is not available in my preferred language, ,No,I had a family emergency, ,Very likely,Never, ,Some high school,We live with relatives or friends, ,8,Male, ,"$24,301 to $40,890","I don't own a car, so I take public transportation",bus,Seamar
3601,Spanish,PAPER,Mexico,1942,1995,98133,Spanish,Not well, , , , ,I can make a small difference,I am very interested,Ethnic Television, , , , , , , , , , , , , ,Very easy,"I contacted a public official through a letter, email, phone, or in-person", , , , , , , , ,I am eligible to register but have not registered yet, ,Voter registration information is not available in my preferred language, ,No,I was out of town, ,Very likely,Never, ,Some high school,We rent our home, ,8,Female, ,"$11,881 to $24,300","I usually use shared transportation, such as a carpool", ,Seamar
3602,Spanish,PAPER,Mexico,1942,1995,98133,Spanish,Not well, , , , ,I can make a moderate difference,I am very interested,Ethnic newspapers, , , , , , , , , , , , , ,Very easy,"I participated in one or more demonstrations, protests, marches, or rallies", , , , , , , , ,I am eligible to register but have not registered yet, ,Voter registration information is not available in my preferred language, ,No,Voting materials are not available in my preferred language, ,Very likely, , ,Eighth grade or below,We rent our home, ,8,Female, ,"$24,301 to $40,890","I usually use shared transportation, such as a carpool", ,Seamar
3603,Spanish,PAPER,Mexico,1942,1995,98133,Spanish,Not at all,"""""""the education library, police""""""", Education/General educational resources, More libraries, Improve safety/Reduce crime,I can make a moderate difference,I am very interested, , , , , , , , , , , , , , ,It is difficult, , , , , , , , , , , , , , , , ,Very likely, , ,None,We live with relatives or friends, ,8,Female, ,I don't know,"I don't own a car, so I take public transportation", ,Seamar
3604,English,PAPER,Laos,1968,1981,98133,Laotian,Very well,"""Affordable housing, Access to healthcare, language access.""",Affordable housing/Low income housing,Access to health care/Affordable health care, Language help/Language specific education,I can make a moderate difference,I am very interested,Internet,Friends and family,Television in English,My union or work place, , , , , , , , , , ,It is difficult,I have worked on a project or attended a meeting in my neighborhood,I have given money to an organization or candidate, , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely, , ,Graduate or professional degree,We own our home, ,2,Female, ,"$65,000 to $99,999",I usually drive the car that I own, ,REWA Tukwila Office
3605,English,PAPER,Other,1991,NA/Refused,98133,Russian,Very well,"""not enough housing, resources for funding high housing cost.""",Affordable housing/Low income housing, , ,I can make a big difference,I am not interested,Internet, , , , , , , , , , , , , ,Very easy,"I participated in one or more demonstrations, protests, marches, or rallies",I sent a message on Facebook or other social media about a social or political issue,I have given money to an organization or candidate, , , , , , ,I am registered to vote, , , ,Yes, , ,Somewhat likely,Sometimes, ,Some college,We own our home, ,5,Female, ,"More than $150,000",I usually drive the car that I own, ,REWA Tukwila Office
3606,English,PAPER,Moldova,1957,1989,98133,Russian,Well,Having Employment.,Jobs/Job search/More jobs available, , ,I can make a small difference,I am very interested,My place of worship, , , , , , , , , , , , , ,Very easy, , , , , , , , , ,I am registered to vote, , , ,Yes, , ,Somewhat likely, , ,Some college,We own our home, , ,Female, ,"$65,000 to $99,999",I usually drive the car that I own, ,REWA Tukwila Office
3607,English,PAPER,Moldova,1957,1989,98133,Russian,Well,"""homelessness, housing, legal""",Affordable housing/Low income housing, Affordable legal assistance, ,I can make a small difference,I am somewhat interested,Internet,Friends and family,Television in English,Ethinic radio, , , , , , , , , , ,Very easy,"I participated in one or more demonstrations, protests, marches, or rallies",I volunterred for an election activity such as a phone bank or registering people to vote, , , , , , , ,I am registered to vote, , , ,I don't remember, , ,Somewhat likely, , ,College degree,We own our home, ,9,Female, ,"$65,000 to $99,999",I usually drive the car that I own, ,REWA Tukwila Office
3608,Spanish,PAPER,Mexico,1986,2005,98133,Spanish,Well,the legalisation, Lack of representation/Leadership in community/Ability to vote, , ,I can make a small difference,I am very interested,Internet,Television in English, , , , , , , , , , , , ,Very easy, , , , , , , , , ,I am not currently eligible to register to vote, , , ,No, , ,Somewhat likely, , ,High school graduate or GED,We rent our home, ,3,Female, ,"$11,881 to $24,300", , ,Symposio de mujeres latinas
3609,Spanish,PAPER,Mexico,1971,2003,98133,Spanish,Well,pubicas schools do not support at all our children keep bilingual, Education/General educational resources, , ,I can make a small difference,I am somewhat interested,Ethnic Television,Ethnic newspapers, , , , , , , , , , , , ,Very easy,I attended a government or school board meeting in my city,I have worked on a project or attended a meeting in my neighborhood,"I participated in one or more demonstrations, protests, marches, or rallies","I attended a PTA meeting, or other volunteer group at my child's school",I have given money to an organization or candidate,I volunterred for an election activity such as a phone bank or registering people to vote, , , ,I am not currently eligible to register to vote, , , ,No, , ,Somewhat likely,Never, ,College degree,We rent our home, ,3,Female, ,"$40,891 to $64,999",I usually drive the car that I own, ,Symposio de mujeres latinas
3610,Spanish,PAPER,Mexico,1998,2005,98133,Spanish,Not well,education and healthcare, Education/General educational resources,Access to health care/Affordable health care, ,I can make a moderate difference,I am very interested,Internet,Ethnic Television,Ethinic radio,My community organization(s)/service provider(s), , , , , , , , , , ,Somewhat easy, , , , , , , , , ,I am not currently eligible to register to vote, , , ,No, , ,Not likely at all,Never, ,High school graduate or GED,We rent our home, ,3,Female, ,"$40,891 to $64,999",I usually drive the car that I own, ,Symposio de mujeres latinas
3611,Spanish,PAPER,Mexico,1964,2001,98133,Spanish,Not well,pues una amistia uh un permiso, Don’t know, , ,I can make a big difference,I am not interested,Ethnic Television, , , , , , , , , , , , , ,Very easy,"I participated in one or more demonstrations, protests, marches, or rallies","I attended a PTA meeting, or other volunteer group at my child's school", , , , , , , ,I am not currently eligible to register to vote, ,Not a citizen yet/Not qualified/Greencard holder,Don't meet the conditions,No,I was not interested in the election, ,I don't know,Never, ,None,We rent our home, ,9,Female, ,"$24,301 to $40,890",I usually drive the car that I own, ,Symposio de mujeres latinas
3612,Spanish,PAPER,Mexico,1966,1992,98133,Spanish,Very well,na, , , ,I can make a small difference,I am very interested,Television in English, , , , , , , , , , , , , ,Very easy,"I attended a PTA meeting, or other volunteer group at my child's school", , , , , , , , ,I am not currently eligible to register to vote, , , ,No, , , ,Never, ,High school graduate or GED,We rent our home, ,9, , ,"$11,880 or less",I usually drive the car that I own, ,Symposio de mujeres latinas
3613,Spanish,PAPER,Mexico,1970,2002,98133,Spanish,Not well,legalization,Difficulty in legal residence/Greencard issue/Obtaining citizenship/Immigration, , ,I can make a small difference,I am very interested,Internet,Ethnic Television,Television in English, , , , , , , , , , , ,Somewhat easy,I attended a government or school board meeting in my city,"I attended a PTA meeting, or other volunteer group at my child's school", , , , , , , ,I am not currently eligible to register to vote, , , ,No, , , ,Sometimes, ,Some high school,We rent our home, ,9,Female, ,"$11,881 to $24,300","I don't own a car, so I take public transportation", ,Symposio de mujeres latinas
3614,Spanish,PAPER,Mexico,1980,2007,98133,Spanish,Not well,education and lack of interest by our community sector, Education/General educational resources, Community centers/Community development, , ,I am very interested,Internet,Ethnic Television,Friends and family,Ethnic newspapers,Ethinic radio, , , , , , , , , ,Very easy, , , , , , , , , ,I am not currently eligible to register to vote, , , , , , , , , ,College degree,We rent our home, ,5,Female, ,"$40,891 to $64,999",I usually drive the car that I own, ,Symposio de mujeres latinas
3615,Chinese,PAPER,China,1985,2015,98133,Mandarin,Well,NA, , , ,I can make a moderate difference,I am somewhat interested,Internet,Television in English, , , , , , , , , , , , ,It is difficult, , , , , , , , , ,I am not currently eligible to register to vote, ,I am too busy, ,No,I was not registered, ,Somewhat likely,Rarely, , ,We rent our home, ,1,Female, , ,"I don't own a car, so I take public transportation", ,Min Guo / Min G.
3616,English,PAPER,Mexico,1940,1991,98133,Spanish,Well,Better police fairness, Police brutality, , ,I can make a moderate difference,I am very interested,Ethnic Television,Ethnic newspapers, , , , , , , , , , , , ,Very easy, , , , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely, , ,College degree,We rent our home, ,8,Male, ,"$11,881 to $24,300",I usually drive the car that I own, ,Other
3617,English,PAPER,Phillipines,1958,1998,98133,English,Well,Communication in our language, Communication (General), , ,I can make a moderate difference,I am somewhat interested,Internet, , , , , , , , , , , , , ,Somewhat easy, , , , , , , , , ,I am eligible to register but have not registered yet, ,I am not interested in voting, ,No,I did not like the candidates, ,I don't know, , ,Graduate or professional degree,We own our home, , ,Male, , , , ,Filipino Community and Bayan
3718,Vietnamese,PAPER,USA,1983,NA/Refused,98144,English,Very well,na, , , ,I can make a big difference,I am very interested,Internet,Television in English,Newspapers in English,Radio in English,Library, , , , , , , , , ,Very easy, , , , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely, , ,College degree,We own our home, ,9,Female, , , , ,Sonny sewing
3618,English,PAPER,Phillipines,1963,2002,98133,Tagalog,Well,Family reunification, Family reunification, , ,I can make a moderate difference,I am very interested,Internet,Newspapers in English,My community organization(s)/service provider(s), , , , , , , , , , , ,Somewhat easy, , , , , , , , , ,I am not currently eligible to register to vote, , , , , , , ,Never, ,Some college,We rent our home, ,3,Female, ,"$24,301 to $40,890","I own a car, but I usually take public transportation", ,Filipino Community and Bayan
3619,Amharic,PAPER,Ethiopia,1964,2015,98133,Amharic,Not well,Language, Language help/Language specific education, , ,I can make a moderate difference,I am somewhat interested,Ethnic Television,My union or work place,My community organization(s)/service provider(s),Library, , , , , , , , , , ,Somewhat easy, , , , , , , , , ,I am not currently eligible to register to vote, , , ,No, , ,Somewhat likely,Never, ,High school graduate or GED,We rent our home, , ,Female, ,"$11,880 or less","I don't own a car, so I take public transportation", ,East African Community College/Service
3620,Amharic,PAPER,Eritirea,1973,2009,98133,Tigrigna,Not well,na, , , ,I can make a small difference,I am not interested,My community organization(s)/service provider(s), , , , , , , , , , , , , ,Somewhat easy, , , , , , , , , ,I am not currently eligible to register to vote, , , ,I don't remember,I was not registered, ,Not likely at all,Never, ,High school graduate or GED,We rent our home, , , , ,"$11,880 or less", , ,East African Community College/Service
